,car_name,prices,base_price,year,milage,permit_validity,repair_history,guarantee,engine_size
0,ミライース 660 B 4WD WEB商談可 届出済未使用車 4WD,94.9,89.3,2023,25km,2026(R08)年08月,なし,保証付,660CC
1,eKワゴン 660 M 衝突軽減B シートヒーター 届出済未使用車,98.9,89.9,2023,10km,2026(R08)年03月,なし,保証付,660CC
2,アルト 660 A 4WD 届出済未使用車横滑防止機能シートヒーター,99.2,90.2,2023,15km,2026(R08)年04月,なし,保証付,660CC
3,eKワゴン 660 M 衝突軽減B シートヒーター 届出済未使用車,116.9,107.9,2023,10km,2026(R08)年03月,なし,保証付,660CC
4,タント 660 L 4WD 届出済未使用車横滑防止機能シートヒーター,157.7,150.2,2023,15km,2026(R08)年03月,なし,保証付,660CC
5,N-ONE 660 RS 6MT・2トーン・シートヒーター・15AW,189.9,181.0,2023,2km,新車未登録,なし,保証付,660CC
6,ワゴンR 660 ハイブリッド FX ,94.9,86.7,2022,0.5万km,2025(R07)年08月,なし,保証付,660CC
7,ミライース 660 G SAIII 社外SDナビ バックカメラ 衝突軽減,97.6,84.8,2022,0.6万km,2024(R06)年07月,なし,保証付,660CC
8,ワゴンR 660 ハイブリッド FX CDオーディオ付,104.9,96.7,2022,0.6万km,2025(R07)年01月,なし,保証付,660CC
9,eKワゴン 660 M 届出済未使用車,109.9,101.6,2022,5km,2025(R07)年11月,なし,保証無,660CC
10,アルトラパン 660 G 届出済未使用車,109.9,101.8,2022,3km,2025(R07)年06月,なし,保証付,660CC
11,アルトラパン LC 660 L 届出済未使用車,129.9,121.7,2022,6km,2025(R07)年11月,なし,保証付,660CC
12,ワゴンR 660 FA 5速MT CDオーディオ 電格ミラー キーレス,68.5,59.8,2021,2.6万km,2024(R06)年03月,なし,保証付,660CC
13,ミライース 660 L SAIII ,79.9,71.6,2021,0.7万km,2024(R06)年11月,なし,保証付,660CC
14,eKワゴン 660 M 衝突軽減B キーレス アイドリングストップ,89.9,83.4,2021,0.6万km,2024(R06)年05月,なし,保証付,660CC
15,ムーヴ 660 L SAIII 衝突軽減B アームレストBOX アイドリングS,92.7,86.7,2021,0.5万km,2024(R06)年06月,なし,保証付,660CC
16,N-WGN 660 L ホンダ センシング 衝突軽減B スマートキー LEDヘッドライト,99.7,93.0,2021,1万km,2024(R06)年09月,なし,保証付,660CC
17,ルークス 660 S 衝突軽減B 両側スライドドア アイドリングS,99.8,92.2,2021,0.4万km,車検整備付,なし,保証付,660CC
18,アルトラパン 660 G ディスプレイオーディオ付,99.9,91.8,2021,1.1万km,2024(R06)年08月,なし,保証付,660CC
19,N-WGN 660 G ホンダ センシング ナビ バックカメラ ETC,100.8,88.8,2021,2万km,車検整備付,なし,保証付,660CC
20,デイズ 660 ハイウェイスターX 当社社用車・ハイビームアシスト・Mナビ,104,95.0,2021,2万km,車検整備付,なし,保証付,660CC
21,N-BOX 660 L 衝突軽減 片側電動スライド 電動パーキング,104.1,94.8,2021,1.7万km,2024(R06)年12月,なし,保証付,660CC
22,デイズ 660 ハイウェイスターX 全周囲カメラ 衝突被害軽減 踏み間違い防止,108.9,99.9,2021,1.9万km,車検整備付,なし,保証付,660CC
23,デイズ 660 ハイウェイスターX 全周囲カメラ・純正ナビ・ETC・踏み間違い,111.5,102.5,2021,2.2万km,車検整備付,なし,保証付,660CC
24,デイズ 660 ハイウェイスターX プロパイロット エディション 前後ドラレコ プロパイロット ワンオーナー,113.5,104.5,2021,1.5万km,車検整備付,なし,保証付,660CC
25,デイズ 660 ハイウェイスターX メモリーナビ・バックカメラ・LEDライト,113.7,104.8,2021,1.9万km,車検整備付,なし,保証付,660CC
26,デイズ 660 ハイウェイスターX 全周囲カメラ 衝突被害軽減B 車線逸脱警報,114.3,105.3,2021,1.8万km,車検整備付,なし,保証付,660CC
27,ワゴンRスマイル 660 ハイブリッド S セーフティプラスパッケージ装着車,124.9,116.6,2021,0.9万km,2024(R06)年09月,なし,保証付,660CC
28,デイズ 660 X 衝突軽減B 全方位カメラ USB スマートキー,80.2,69.8,2020,0.7万km,車検整備無,なし,保証付,660CC
29,ワゴンR 660 FA レンタUP・社外CDチューナー・ETC付,83.5,79.0,2020,1.9万km,2024(R06)年11月,なし,保証付,660CC
